,BPI,P1A_03,P2A_03,P3A_03,P4_03,BPI TC,P3A_IV,BDI,BCI,BSI,BHSI,BSI 52 TC,C2,C3,C4,C5,C7,C15,C8_14,C9_14,C10_14,C14,C16,BCI TC,C17,P1A_82,P2A_82,P3A_82,P4_82,P6_82,BPI 82 TC,P7,P8,HS1_38,HS2_38,HS3_38,HS4_38,HS5_38,HS6_38,HS7_38,BHSI 38 TC,HS1,HS2,HS3,HS4,HS5,HS6,BHSI TC,S1B_58,S1C_58,S2_58,S3_58,S4A_58,S4B_58,S5_58,S8_58,S9_58,S10_58,BSI TC,S11_58,BES 58 TC,P5,BCTI,BDTI
12/16/2018,1478,13330,20045,9913,4022,11828,12.14,1401,2383,974,617,10980,8.82,17.20,9.03,8.77,9.32,12.14,16575,29886,21267,15705,4650,17704,13.00,14465,21600,11238,4987,12565,12854,45.085,33.623,9870,9833,17281,15650,9034,8747,8503,10986,8560,8397,14119,11718,7264,7054,8929,23068,27078,8679,4470,22696,8979,16446,8400,11058,8478,11273,8375,8418,10328,917,1223
12/17/2018,1490,13358,20159,10128,4051,11924,12.37,1406,2433,978,614,11018,8.817,17.427,9.025,8.736,9.295,12.25,16175,29455,21271,16095,5175,17714,13.125,14490,21676,11505,5011,12593,12945,45.055,33.595,9901,9850,17262,15163,9034,8725,8475,10921,8562,8413,14144,11457,7243,7036,8892,22957,27103,8750,4530,22704,8914,16450,8496,11063,8581,11311,8469,8515,10611,909,1223
